
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
15:35:30:065,-0.0530,0.4023,0.5148,0.3682,-0.1484,0.9202,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-162.025,-37.859,5.873,0.00000000,0.00000000,0.00000000,
15:35:30:066,-0.0530,0.4023,0.5148,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-162.025,-37.859,5.873,0.00000000,0.00000000,0.00000000,
15:35:30:081,-0.0995,0.4015,0.4559,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-160.560,-40.711,12.317,0.00000000,0.00000000,0.00000000,
15:35:30:082,0.0753,0.4533,0.9570,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-165.171,-25.279,-4.497,0.00000000,0.00000000,0.00000000,
15:35:30:082,0.1465,0.4395,1.0956,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-165.888,-21.685,-7.616,0.00000000,0.00000000,0.00000000,
15:35:30:083,0.0725,0.4857,0.7240,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-164.483,-33.722,-5.722,0.00000000,0.00000000,0.00000000,
15:35:30:159,0.0458,0.5288,0.4837,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-161.911,-47.425,-5.412,0.00000000,0.00000000,0.00000000,
15:35:30:159,-0.0202,0.5393,0.4489,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-159.418,-50.196,2.576,0.00000000,0.00000000,0.00000000,
15:35:30:159,-0.0043,0.5623,0.6112,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-161.898,-42.612,0.400,0.00000000,0.00000000,0.00000000,
15:35:30:196,0.0648,0.5897,1.0066,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.5048,-78.3005,7.9239,-164.562,-30.312,-3.685,0.00000000,0.00000000,0.00000000,
15:35:30:221,0.0648,0.5897,1.0066,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-164.270,-30.312,-3.685,0.00000000,0.00000000,0.00000000,
15:35:30:286,0.0749,0.5787,1.0147,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-164.425,-29.630,-4.220,0.00000000,0.00000000,0.00000000,
15:35:30:287,0.0657,0.5794,0.9866,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-164.281,-30.366,-3.809,0.00000000,0.00000000,0.00000000,
15:35:30:288,0.0004,0.5812,0.8107,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-163.002,-35.636,-0.027,0.00000000,0.00000000,0.00000000,
15:35:30:288,0.0098,0.5748,1.0051,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-163.916,-29.765,-0.556,0.00000000,0.00000000,0.00000000,
15:35:30:289,0.0417,0.5960,1.0669,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-164.206,-29.171,-2.240,0.00000000,0.00000000,0.00000000,
15:35:30:361,0.0311,0.6053,0.8907,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-163.513,-34.182,-2.000,0.00000000,0.00000000,0.00000000,
15:35:30:362,-0.0215,0.5802,0.7816,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-162.617,-36.576,1.579,0.00000000,0.00000000,0.00000000,
15:35:30:365,-0.0742,0.5326,0.8130,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-162.749,-33.122,5.217,0.00000000,0.00000000,0.00000000,
15:35:30:366,-0.1267,0.4608,0.8220,0.3947,-0.7166,-1.2440,-0.0311,-0.1518,-0.1891,20.4346,-77.4643,6.6498,-163.015,-28.990,8.760,0.00000000,0.00000000,0.00000000,
15:35:30:399,-0.1267,0.4608,0.8220,0.3947,-0.7166,-1.2440,-0.1268,0.1994,-0.0380,20.4346,-77.4643,6.6498,-163.015,-28.990,8.760,0.00000000,0.00000000,0.00000000,
15:35:30:399,-0.1267,0.4608,0.8220,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,20.4346,-77.4643,6.6498,-163.015,-28.990,8.760,0.00000000,0.00000000,0.00000000,
15:35:30:421,-0.1267,0.4608,0.8220,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,20.4346,-77.4643,6.6498,-163.015,-28.990,8.760,0.00000000,0.00000000,0.00000000,
15:35:30:422,-0.2060,0.4044,0.8275,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,20.4346,-77.4643,6.6498,-163.120,-25.370,13.979,0.00000000,0.00000000,0.00000000,
15:35:30:423,-0.1939,0.3632,0.9262,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,20.4346,-77.4643,6.6498,-163.720,-20.997,11.822,0.00000000,0.00000000,0.00000000,
15:35:30:433,-0.1939,0.3632,0.9262,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,21.8903,-77.3758,7.4753,-162.599,-20.997,11.822,0.00000000,0.00000000,0.00000000,
15:35:30:519,-0.1015,0.4030,0.9549,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,21.8903,-77.3758,7.4753,-162.901,-22.765,6.068,0.00000000,0.00000000,0.00000000,
15:35:30:521,-0.0404,0.4234,0.9589,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,21.8903,-77.3758,7.4753,-163.190,-23.804,2.413,0.00000000,0.00000000,0.00000000,
15:35:30:525,-0.0623,0.3890,0.9299,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,21.8903,-77.3758,7.4753,-163.139,-22.654,3.834,0.00000000,0.00000000,0.00000000,
15:35:30:527,-0.0749,0.3747,0.8931,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,21.8903,-77.3758,7.4753,-163.036,-22.688,4.792,0.00000000,0.00000000,0.00000000,
15:35:30:529,-0.0824,0.3718,0.8909,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,21.8903,-77.3758,7.4753,-162.997,-22.564,5.286,0.00000000,0.00000000,0.00000000,
15:35:30:530,-0.0685,0.3611,0.9287,0.1789,0.9028,0.5605,-0.1268,0.1994,-0.0380,21.8903,-77.3758,7.4753,-163.227,-21.195,4.220,0.00000000,0.00000000,0.00000000,
15:35:30:592,-0.0685,0.3611,0.9287,0.1789,0.9028,0.5605,-0.2546,0.2141,0.2760,21.8903,-77.3758,7.4753,-163.227,-21.195,4.220,0.00000000,0.00000000,0.00000000,
